Gisele's Brazilian             Sheila Chepkirui KIPROTICH     (bib 4081)
The Hulkamaniacs               Shannon ROWBURY                (bib 4366)
The Bearded Keane's            Letesenbet GIDEY               (bib 3845)
West coast offence             Kalkidan GEZAHEGNE             (bib 3703)
GONZO FOOTBALL                 Molly HUDDLE                   (bib 4343)
what_is_going_on               Susan KRUMINS                  (bib 4130)
The Random Chance              Margaret Chelimo KIPKEMBOI     (bib 4080)
Watto's Winners                Senbere TEFERI                 (bib 3849)
Sheffield Sabres               Laura MUIR                     (bib 3900)
Team 12                        Karoline Bjerkeli GRØVDAL      (bib 4153)
RubberMuffins17                Hellen Onsando OBIRI           (bib 4086)
No luck no judgement           Almaz AYANA                    (bib 3839)
